seller_id_1,seller_id_2,edge_reason
s01,s03,"shared thrift/home-goods + treasure-hunt vibe"
s01,s05,"similar thrift + budget/clean/organized"
s03,s05,"thrift ecosystem adjacency"
s04,s03,"antiques/housewares overlap"
s04,s02,"designer/curated resale affinity"
s02,s06,"youth resale adjacency (weak but useful bridge)"
s06,s03,"vintage overlap bridge"
s06,s09,"alt/vintage social discovery + IG adjacency"
s09,s07,"social-discovery sellers (bridge to offline flea)"
s07,s08,"same flea market ecosystem"
s01,s06,"same corridor + unique finds"
s02,s03,"vintage overlap bridge"
s04,s01,"clean/organized + home goods overlap"
s05,s06,"weak bridge budget↔niche"
s03,s07,"treasure-hunt bridge to Rose Bowl"
s06,s08,"boots align with alt fits (bridge)"
s02,s07,"designer goods bridge to flea handbags"