edge_id,user_id,seller_id,interaction_type,rating,hidden_gem,edge_tags,reason,source
e001,u01,s01,visited,5,1,"clean;organized;unique_finds;housewares","great finds at fair prices + friendly staff","personal_knowledge"
e002,u01,s07,hidden_gem_find,5,1,"designer_handbags;budget;rare_find","found cheap designer handbags at Rose Bowl flea vendor","in_person_flea"
e003,u01,s06,visited,4,1,"punk;goth;band_tees;vintage_80s","niche styles you can't find in mainstream stores","friend_reco"
e004,u02,s02,visited,4,0,"streetwear;designer;trend","curated trendy resale; known brands","social_media"
e005,u02,s01,visited,4,0,"home_goods;unique_finds","good rotation; easy stop-in","friend_reco"
e006,u02,s03,visited,4,0,"treasure_hunt;vintage;home_decor","fun browse; sometimes great scores","friend_reco"
e007,u03,s06,visited,5,1,"goth;alt;punk;accessories","perfect vibe for alternative outfits","personal_knowledge"
e008,u03,s09,hidden_gem_find,5,1,"instagram_only;curated_vintage;hard_to_search","found IG-only Silver Lake flea vendor via reposts","instagram"
e009,u03,s03,visited,4,0,"vintage;antique;books","good for eclectic finds if you visit often","personal_knowledge"
e010,u04,s05,visited,5,1,"budget;coupons;basics","cheapest reliable spot for staples","personal_knowledge"
e011,u04,s01,visited,4,0,"housewares;books","good for kitchen replacements + practical stuff","personal_knowledge"
e012,u05,s04,visited,5,1,"designer_apparel;high_end_furniture;vintage","high quality pieces at below-consignment prices","friend_reco"
e013,u05,s03,visited,4,0,"antiques;collectibles","great turnover; good jewelry/books sometimes","personal_knowledge"
e014,u05,s07,visited,4,1,"designer_handbags;vintage_accessories","rose bowl vendor had designer accessories","friend_reco"
e015,u06,s02,visited,4,0,"streetwear;designer_brands","streetwear brands you recognize","personal_knowledge"
e016,u06,s01,visited,3,0,"misc;electronics","sometimes decent hardware/electronics","personal_knowledge"
e017,u07,s03,visited,4,0,"volunteer_run;home_decor;seasonal","supports local programs + good home items","personal_knowledge"
e018,u07,s05,visited,4,1,"eco;budget;recycling","good prices + donate-shop cycle","personal_knowledge"
e019,u08,s01,visited,5,1,"books;housewares;furniture","best for home goods + practical finds","personal_knowledge"
e020,u08,s04,visited,4,0,"midcentury;furniture","furniture browsing; bigger pieces","personal_knowledge"
e021,u09,s04,visited,4,0,"formal;designer;wedding_dresses","good for interview/event outfits","friend_reco"
e022,u09,s05,visited,4,1,"budget;workwear","cheap basics for professional closet","friend_reco"
e023,u10,s03,visited,4,0,"eclectic;vintage;collectibles","good cross-style exploration","personal_knowledge"
e024,u10,s02,visited,4,0,"designer;streetwear","good for trend + vintage crossover","personal_knowledge"
e025,u10,s08,hidden_gem_find,5,1,"boots;budget;rare_find","friend found amazing secondhand boots at Rose Bowl vendor","friend_reco"
e026,u06,s08,visited,4,1,"boots;streetwear","boots vendor had great options for fits","friend_reco"
e027,u02,s09,aware_of,0,0,"instagram_only","heard about it but hasn't gone","friend_reco"
e028,u01,s08,aware_of,0,0,"boots_vendor","friend mentioned it at Rose Bowl","friend_reco"